portfolio,platform,date,media_type,caption,views,reach,total_plays,avg_watch_sec,likes,comments,shares,saves,permalink,video_id
Rumah Ningrat Pejambon,Facebook,2026-04-02,CAROUSEL,"Rumah kecil, tapi fungsinya maksimal 🏡✨ Dengan layout yang dirancang fungsional,",0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105344137022247/posts/122105323923022247,
Rumah Ningrat Pejambon,Facebook,2026-04-01,VIDEO,Mau lolos BI Checking biar bisa KPR? 🤔🏡 Ini dia 5 hal penting yang wajib kamu ja,235,205,262,6.8,1,0,0,0,https://www.facebook.com/reel/2020208555540479/,2020208555540479.0
Rumah Ningrat Pejambon,Facebook,2026-03-31,CAROUSEL,"Lingkungan nyaman, hidup pun lebih tenang 🏡✨ Dengan sistem cluster gate, keamana",0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105344137022247/posts/122104901817022247,
Rumah Ningrat Pejambon,Facebook,2026-03-29,VIDEO,"Suatu hari nanti… kamu pulang ke rumah sendiri 🏡💛 Bukan soal mewah atau besar,  ",66,66,69,3.9,1,0,0,0,https://www.facebook.com/reel/1338972311379730/,1338972311379730.0
Rumah Ningrat Pejambon,Facebook,2026-03-27,VIDEO,"Hunian nyaman dengan desain modern & fungsional 🏡✨  Area tertata rapi, siap huni",63,61,74,5.9,0,0,0,0,https://www.facebook.com/reel/1248066257473459/,1248066257473459.0
Rumah Ningrat Pejambon,Facebook,2026-03-26,CAROUSEL,"Kenapa KPR bisa ditolak? 🤔🏡 Bukan cuma soal gaji, tapi juga banyak faktor lain s",0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105344137022247/posts/122103856365022247,
Rumah Ningrat Pejambon,Facebook,2026-03-25,CAROUSEL,Kenapa rumah subsidi sering cepat habis? 🤔🏡 Banyak yang mikir karena marketingny,0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105344137022247/posts/122103583173022247,
Rumah Ningrat Pejambon,Facebook,2026-03-25,VIDEO,"166 JUTA SUDAH DAPAT RUMAH?! 😱🏡  Bukan cuma rumah, tapi sudah lengkap dengan:  ✔",239,235,269,7.3,1,0,0,0,https://www.facebook.com/reel/1131562322398923/,1131562322398923.0
Rumah Ningrat Pejambon,Facebook,2026-03-25,VIDEO,GAJI 4 JUTA MASIH NGONTRAK? 😳 Padahal kamu SUDAH BISA PUNYA RUMAH! 🏡  💥 Cicilan ,43005,31275,46960,5.3,159,18,3,0,https://www.facebook.com/reel/1271910991027832/,1271910991027832.0
Rumah Ningrat Pejambon,Facebook,2026-03-25,VIDEO,Bayangkan pulang ke rumah yang nyaman setiap hari… Dari ruang tamu untuk berkump,308,303,339,4.4,1,0,0,0,https://www.facebook.com/reel/4484331801787905/,4484331801787905.0
Rumah Ningrat Pejambon,Facebook,2026-03-23,IMAGE,CUMA 100 RIBU SUDAH BISA PUNYA RUMAH?! 😳🏡  Gak perlu nunggu punya tabungan besar,0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105344137022247/posts/122103130857022247,
Rumah Ningrat Pejambon,Facebook,2026-03-22,VIDEO,GAJI 4 JUTA MASIH NGONTRAK? 😳 Padahal kamu SUDAH BISA PUNYA RUMAH! 🏡  💥 Cicilan ,404,418,448,5.8,3,0,0,0,https://www.facebook.com/reel/974587551560243/,974587551560243.0
Rumah Ningrat Pejambon,Facebook,2026-03-18,CAROUSEL,Kenapa rumah subsidi sering cepat habis? 🤔🏡 Banyak yang mikir karena marketingny,0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105344137022247/posts/122099680671022247,
Rumah Ningrat Pejambon,Facebook,2026-03-17,IMAGE,Promo THR Spesial Potongan Terima Kunci Rp500.000 📍 Blok E & F 📅 14 – 25 Maret 2,0,0,0,0.0,3,0,0,0,https://www.facebook.com/122105344137022247/posts/122098822521022247,
Rumah Ningrat Pejambon,Facebook,2026-03-16,VIDEO,Banyak orang menunda punya rumah karena merasa harus menunggu “siap”.  Padahal k,853,876,924,6.7,4,0,0,0,https://www.facebook.com/reel/1637239624279198/,1637239624279198.0
Rumah Ningrat Pejambon,Facebook,2026-03-16,IMAGE,Rumah Ningrat Pejambon updated their cover photo.,0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105344137022247/posts/1567988494296108?substory_index=1567988494296108,
Rumah Ningrat Pejambon,Facebook,2026-03-16,IMAGE,Rumah Ningrat Pejambon updated their profile picture.,0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105344137022247/posts/122097523797022247?substory_index=1420382719294596,
Rumah Ningrat Subang,Facebook,2026-04-02,CAROUSEL,"Rumah kecil, tapi fungsinya maksimal 🏡✨ Dengan layout yang dirancang fungsional,",0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105724651025251/posts/122105708625025251,
Rumah Ningrat Subang,Facebook,2026-04-01,VIDEO,Mau lolos BI Checking biar bisa KPR? 🤔🏡 Ini dia 5 hal penting yang wajib kamu ja,9,9,12,12.3,0,0,0,0,https://www.facebook.com/reel/2023282261587754/,2023282261587754.0
Rumah Ningrat Subang,Facebook,2026-03-31,CAROUSEL,"Lingkungan nyaman, hidup pun lebih tenang 🏡✨ Dengan sistem cluster gate, keamana",0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105724651025251/posts/122105352819025251,
Rumah Ningrat Subang,Facebook,2026-03-29,VIDEO,"Suatu hari nanti… kamu pulang ke rumah sendiri 🏡💛 Bukan soal mewah atau besar,  ",17,17,24,13.2,0,0,0,0,https://www.facebook.com/reel/966007755948797/,966007755948797.0
Rumah Ningrat Subang,Facebook,2026-03-27,VIDEO,"Hunian nyaman dengan desain modern & fungsional 🏡✨  Area tertata rapi, siap huni",25,21,33,14.2,0,0,0,0,https://www.facebook.com/reel/2682259438818991/,2682259438818991.0
Rumah Ningrat Subang,Facebook,2026-03-26,CAROUSEL,"Kenapa KPR bisa ditolak? 🤔🏡 Bukan cuma soal gaji, tapi juga banyak faktor lain s",0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105724651025251/posts/122104315803025251,
Rumah Ningrat Subang,Facebook,2026-03-25,VIDEO,Bayangkan pulang ke rumah yang nyaman setiap hari… Dari ruang tamu untuk berkump,41,39,43,5.7,0,0,0,0,https://www.facebook.com/reel/1337019035114807/,1337019035114807.0
